enlisted,pay_grade,single without children male,single without children female,single without children total,single with children male,single with children female,single with children total,joint service marriage male,joint service marriage female,joint service marriage total,civilian marriage male,civilian marriage female,civilian marriage total,male marriage total,female marriage total,total marriage total
E,1,9456,1309,10765,365,80,445,40,38,78,2579,358,2937,12440,1785,14225
E,2,21600,3324,24924,997,167,1164,130,201,331,6808,1035,7843,29535,4727,34262
E,3,38335,5651,43986,2613,699,3312,680,999,1679,18419,2875,21294,60047,10224,70271
E,4,50758,6333,57091,7010,2599,9609,3029,3936,6965,58317,6010,64327,119114,18878,137992
E,5,17020,2678,19698,4414,2280,6694,2915,2769,5684,49821,3087,52908,74170,10814,84984
E,6,7497,1640,9137,4138,2003,6141,2598,1896,4494,44045,2019,46064,58278,7558,65836
E,7,2146,829,2975,2998,1350,4348,1880,1181,3061,29292,1371,30663,36316,4731,41047
E,8,460,194,654,951,291,1242,617,278,895,9221,373,9594,11249,1136,12385
E,9,134,88,222,249,64,313,158,51,209,2729,105,2834,3270,308,3578
O,1,3908,898,4806,248,131,379,101,193,294,2396,393,2789,6653,1615,8268
O,2,4452,1099,5551,236,192,428,285,449,734,3778,503,4281,8751,2243,10994
O,3,5743,2037,7780,656,473,1129,1000,1229,2229,13794,1592,15386,21193,5331,26524
O,4,1222,681,1903,496,223,719,614,632,1246,11785,804,12589,14117,2340,16457
O,5,399,294,693,294,128,422,298,296,594,7589,536,8125,8580,1254,9834
O,6,130,123,253,103,42,145,122,74,196,3666,258,3924,4021,497,4518
O,7,2,4,6,3,1,4,2,1,3,136,4,140,143,10,153
O,8,1,1,2,0,0,0,2,1,3,99,4,103,102,6,108
O,9,1,0,1,0,0,0,0,1,1,52,0,52,53,1,54
O,10,0,0,0,0,0,0,0,1,1,10,0,10,10,1,11
W,1,328,65,393,140,74,214,88,95,183,1985,92,2077,2541,326,2867
W,2,609,138,747,293,137,430,247,181,428,4139,122,4261,5288,578,5866
W,3,191,58,249,220,72,292,141,88,229,2822,72,2894,3374,290,3664
W,4,101,39,140,127,30,157,100,39,139,1967,64,2031,2295,172,2467
W,5,20,9,29,20,1,21,11,4,15,504,10,514,555,24,579
