pay_grade,enlisted,branch,status,count
1,E,TotalDoD,single withoutchildren male,31229
1,E,TotalDoD,single withoutchildren female,5717
1,E,TotalDoD,single withchildren male,563
1,E,TotalDoD,single withchildren female,122
1,E,TotalDoD,married jointservice male,139
1,E,TotalDoD,married jointservice female,141
1,E,TotalDoD,married civilian female,5060
1,E,TotalDoD,married civilian male,719
2,E,TotalDoD,single withoutchildren male,53094
2,E,TotalDoD,single withoutchildren female,8388
2,E,TotalDoD,single withchildren male,1457
2,E,TotalDoD,single withchildren female,275
2,E,TotalDoD,married jointservice male,438
2,E,TotalDoD,married jointservice female,579
2,E,TotalDoD,married civilian female,12483
2,E,TotalDoD,married civilian male,1682
3,E,TotalDoD,single withoutchildren male,131091
3,E,TotalDoD,single withoutchildren female,21019
3,E,TotalDoD,single withchildren male,4264
3,E,TotalDoD,single withchildren female,1920
3,E,TotalDoD,married jointservice male,3579
3,E,TotalDoD,married jointservice female,4902
3,E,TotalDoD,married civilian female,54795
3,E,TotalDoD,married civilian male,6641
4,E,TotalDoD,single withoutchildren male,112710
4,E,TotalDoD,single withoutchildren female,16381
4,E,TotalDoD,single withchildren male,9491
4,E,TotalDoD,single withchildren female,4662
4,E,TotalDoD,married jointservice male,8661
4,E,TotalDoD,married jointservice female,9778
4,E,TotalDoD,married civilian female,105556
4,E,TotalDoD,married civilian male,9961
5,E,TotalDoD,single withoutchildren male,57989
5,E,TotalDoD,single withoutchildren female,11021
5,E,TotalDoD,single withchildren male,10937
5,E,TotalDoD,single withchildren female,6576
5,E,TotalDoD,married jointservice male,12459
5,E,TotalDoD,married jointservice female,11117
5,E,TotalDoD,married civilian female,130944
5,E,TotalDoD,married civilian male,8592
6,E,TotalDoD,single withoutchildren male,19125
6,E,TotalDoD,single withoutchildren female,4654
6,E,TotalDoD,single withchildren male,10369
6,E,TotalDoD,single withchildren female,4962
6,E,TotalDoD,married jointservice male,8474
6,E,TotalDoD,married jointservice female,6961
6,E,TotalDoD,married civilian female,110322
6,E,TotalDoD,married civilian male,5827
7,E,TotalDoD,single withoutchildren male,5446
7,E,TotalDoD,single withoutchildren female,1913
7,E,TotalDoD,single withchildren male,6530
7,E,TotalDoD,single withchildren female,2585
7,E,TotalDoD,married jointservice male,5065
7,E,TotalDoD,married jointservice female,3291
7,E,TotalDoD,married civilian female,70001
7,E,TotalDoD,married civilian male,3206
8,E,TotalDoD,single withoutchildren male,1009
8,E,TotalDoD,single withoutchildren female,438
8,E,TotalDoD,single withchildren male,1786
8,E,TotalDoD,single withchildren female,513
8,E,TotalDoD,married jointservice male,1423
8,E,TotalDoD,married jointservice female,651
8,E,TotalDoD,married civilian female,21079
8,E,TotalDoD,married civilian male,820
9,E,TotalDoD,single withoutchildren male,381
9,E,TotalDoD,single withoutchildren female,202
9,E,TotalDoD,single withchildren male,579
9,E,TotalDoD,single withchildren female,144
9,E,TotalDoD,married jointservice male,458
9,E,TotalDoD,married jointservice female,150
9,E,TotalDoD,married civilian female,8215
9,E,TotalDoD,married civilian male,291
1,O,TotalDoD,single withoutchildren male,13495
1,O,TotalDoD,single withoutchildren female,3081
1,O,TotalDoD,single withchildren male,402
1,O,TotalDoD,single withchildren female,229
1,O,TotalDoD,married jointservice male,426
1,O,TotalDoD,married jointservice female,669
1,O,TotalDoD,married civilian female,6959
1,O,TotalDoD,married civilian male,828
2,O,TotalDoD,single withoutchildren male,11029
2,O,TotalDoD,single withoutchildren female,2715
2,O,TotalDoD,single withchildren male,426
2,O,TotalDoD,single withchildren female,299
2,O,TotalDoD,married jointservice male,910
2,O,TotalDoD,married jointservice female,1194
2,O,TotalDoD,married civilian female,10070
2,O,TotalDoD,married civilian male,1096
3,O,TotalDoD,single withoutchildren male,14551
3,O,TotalDoD,single withoutchildren female,5056
3,O,TotalDoD,single withchildren male,1442
3,O,TotalDoD,single withchildren female,940
3,O,TotalDoD,married jointservice male,3017
3,O,TotalDoD,married jointservice female,3174
3,O,TotalDoD,married civilian female,38963
3,O,TotalDoD,married civilian male,3886
4,O,TotalDoD,single withoutchildren male,3480
4,O,TotalDoD,single withoutchildren female,1720
4,O,TotalDoD,single withchildren male,1190
4,O,TotalDoD,single withchildren female,534
4,O,TotalDoD,married jointservice male,1958
4,O,TotalDoD,married jointservice female,1639
4,O,TotalDoD,married civilian female,31864
4,O,TotalDoD,married civilian male,2416
5,O,TotalDoD,single withoutchildren male,1244
5,O,TotalDoD,single withoutchildren female,810
5,O,TotalDoD,single withchildren male,729
5,O,TotalDoD,single withchildren female,267
5,O,TotalDoD,married jointservice male,1072
5,O,TotalDoD,married jointservice female,806
5,O,TotalDoD,married civilian female,22296
5,O,TotalDoD,married civilian male,1578
6,O,TotalDoD,single withoutchildren male,353
6,O,TotalDoD,single withoutchildren female,349
6,O,TotalDoD,single withchildren male,261
6,O,TotalDoD,single withchildren female,94
6,O,TotalDoD,married jointservice male,364
6,O,TotalDoD,married jointservice female,182
6,O,TotalDoD,married civilian female,10004
6,O,TotalDoD,married civilian male,715
7,O,TotalDoD,single withoutchildren male,5
7,O,TotalDoD,single withoutchildren female,7
7,O,TotalDoD,single withchildren male,7
7,O,TotalDoD,single withchildren female,1
7,O,TotalDoD,married jointservice male,9
7,O,TotalDoD,married jointservice female,6
7,O,TotalDoD,married civilian female,410
7,O,TotalDoD,married civilian male,18
8,O,TotalDoD,single withoutchildren male,4
8,O,TotalDoD,single withoutchildren female,7
8,O,TotalDoD,single withchildren male,0
8,O,TotalDoD,single withchildren female,0
8,O,TotalDoD,married jointservice male,7
8,O,TotalDoD,married jointservice female,2
8,O,TotalDoD,married civilian female,272
8,O,TotalDoD,married civilian male,16
9,O,TotalDoD,single withoutchildren male,1
9,O,TotalDoD,single withoutchildren female,1
9,O,TotalDoD,single withchildren male,1
9,O,TotalDoD,single withchildren female,0
9,O,TotalDoD,married jointservice male,1
9,O,TotalDoD,married jointservice female,1
9,O,TotalDoD,married civilian female,144
9,O,TotalDoD,married civilian male,1
10,O,TotalDoD,single withoutchildren male,1
10,O,TotalDoD,single withoutchildren female,0
10,O,TotalDoD,single withchildren male,0
10,O,TotalDoD,single withchildren female,0
10,O,TotalDoD,married jointservice male,1
10,O,TotalDoD,married jointservice female,1
10,O,TotalDoD,married civilian female,35
10,O,TotalDoD,married civilian male,0
1,W,TotalDoD,single withoutchildren male,354
1,W,TotalDoD,single withoutchildren female,68
1,W,TotalDoD,single withchildren male,160
1,W,TotalDoD,single withchildren female,81
1,W,TotalDoD,married jointservice male,113
1,W,TotalDoD,married jointservice female,107
1,W,TotalDoD,married civilian female,2371
1,W,TotalDoD,married civilian male,97
2,W,TotalDoD,single withoutchildren male,658
2,W,TotalDoD,single withoutchildren female,151
2,W,TotalDoD,single withchildren male,358
2,W,TotalDoD,single withchildren female,143
2,W,TotalDoD,married jointservice male,295
2,W,TotalDoD,married jointservice female,204
2,W,TotalDoD,married civilian female,5164
2,W,TotalDoD,married civilian male,134
3,W,TotalDoD,single withoutchildren male,221
3,W,TotalDoD,single withoutchildren female,77
3,W,TotalDoD,single withchildren male,283
3,W,TotalDoD,single withchildren female,88
3,W,TotalDoD,married jointservice male,178
3,W,TotalDoD,married jointservice female,110
3,W,TotalDoD,married civilian female,3790
3,W,TotalDoD,married civilian male,94
4,W,TotalDoD,single withoutchildren male,116
4,W,TotalDoD,single withoutchildren female,47
4,W,TotalDoD,single withchildren male,169
4,W,TotalDoD,single withchildren female,35
4,W,TotalDoD,married jointservice male,117
4,W,TotalDoD,married jointservice female,45
4,W,TotalDoD,married civilian female,2567
4,W,TotalDoD,married civilian male,71
5,W,TotalDoD,single withoutchildren male,25
5,W,TotalDoD,single withoutchildren female,12
5,W,TotalDoD,single withchildren male,24
5,W,TotalDoD,single withchildren female,2
5,W,TotalDoD,married jointservice male,11
5,W,TotalDoD,married jointservice female,5
5,W,TotalDoD,married civilian female,650
5,W,TotalDoD,married civilian male,13
1,E,AirForce,single withoutchildren male,7721
1,E,AirForce,single withoutchildren female,1550
1,E,AirForce,single withchildren male,27
1,E,AirForce,single withchildren female,5
1,E,AirForce,married jointservice male,49
1,E,AirForce,married jointservice female,27
1,E,AirForce,married civilian female,1064
1,E,AirForce,married civilian male,178
2,E,AirForce,single withoutchildren male,4380
2,E,AirForce,single withoutchildren female,1010
2,E,AirForce,single withchildren male,33
2,E,AirForce,single withchildren female,9
2,E,AirForce,married jointservice male,97
2,E,AirForce,married jointservice female,105
2,E,AirForce,married civilian female,802
2,E,AirForce,married civilian male,163
3,E,AirForce,single withoutchildren male,29725
3,E,AirForce,single withoutchildren female,7108
3,E,AirForce,single withchildren male,396
3,E,AirForce,single withchildren female,266
3,E,AirForce,married jointservice male,1258
3,E,AirForce,married jointservice female,1687
3,E,AirForce,married civilian female,10436
3,E,AirForce,married civilian male,1631
4,E,AirForce,single withoutchildren male,20805
4,E,AirForce,single withoutchildren female,4756
4,E,AirForce,single withchildren male,987
4,E,AirForce,single withchildren female,842
4,E,AirForce,married jointservice male,3036
4,E,AirForce,married jointservice female,3207
4,E,AirForce,married civilian female,15363
4,E,AirForce,married civilian male,1769
5,E,AirForce,single withoutchildren male,14623
5,E,AirForce,single withoutchildren female,4104
5,E,AirForce,single withchildren male,2755
5,E,AirForce,single withchildren female,2171
5,E,AirForce,married jointservice male,6154
5,E,AirForce,married jointservice female,5519
5,E,AirForce,married civilian female,31711
5,E,AirForce,married civilian male,2889
6,E,AirForce,single withoutchildren male,3660
6,E,AirForce,single withoutchildren female,1377
6,E,AirForce,single withchildren male,2446
6,E,AirForce,single withchildren female,1449
6,E,AirForce,married jointservice male,3654
6,E,AirForce,married jointservice female,3263
6,E,AirForce,married civilian female,23868
6,E,AirForce,married civilian male,2026
7,E,AirForce,single withoutchildren male,1441
7,E,AirForce,single withoutchildren female,617
7,E,AirForce,single withchildren male,1539
7,E,AirForce,single withchildren female,734
7,E,AirForce,married jointservice male,2118
7,E,AirForce,married jointservice female,1419
7,E,AirForce,married civilian female,17290
7,E,AirForce,married civilian male,1188
8,E,AirForce,single withoutchildren male,182
8,E,AirForce,single withoutchildren female,139
8,E,AirForce,single withchildren male,236
8,E,AirForce,single withchildren female,110
8,E,AirForce,married jointservice male,505
8,E,AirForce,married jointservice female,241
8,E,AirForce,married civilian female,3655
8,E,AirForce,married civilian male,228
9,E,AirForce,single withoutchildren male,83
9,E,AirForce,single withoutchildren female,48
9,E,AirForce,single withchildren male,106
9,E,AirForce,single withchildren female,39
9,E,AirForce,married jointservice male,204
9,E,AirForce,married jointservice female,73
9,E,AirForce,married civilian female,1975
9,E,AirForce,married civilian male,108
1,O,AirForce,single withoutchildren male,3831
1,O,AirForce,single withoutchildren female,1068
1,O,AirForce,single withchildren male,45
1,O,AirForce,single withchildren female,43
1,O,AirForce,married jointservice male,182
1,O,AirForce,married jointservice female,265
1,O,AirForce,married civilian female,1693
1,O,AirForce,married civilian male,211
2,O,AirForce,single withoutchildren male,2710
2,O,AirForce,single withoutchildren female,819
2,O,AirForce,single withchildren male,63
2,O,AirForce,single withchildren female,45
2,O,AirForce,married jointservice male,381
2,O,AirForce,married jointservice female,472
2,O,AirForce,married civilian female,2443
2,O,AirForce,married civilian male,310
3,O,AirForce,single withoutchildren male,4035
3,O,AirForce,single withoutchildren female,1642
3,O,AirForce,single withchildren male,338
3,O,AirForce,single withchildren female,295
3,O,AirForce,married jointservice male,1378
3,O,AirForce,married jointservice female,1256
3,O,AirForce,married civilian female,11841
3,O,AirForce,married civilian male,1436
4,O,AirForce,single withoutchildren male,1077
4,O,AirForce,single withoutchildren female,597
4,O,AirForce,single withchildren male,293
4,O,AirForce,single withchildren female,191
4,O,AirForce,married jointservice male,969
4,O,AirForce,married jointservice female,655
4,O,AirForce,married civilian female,9545
4,O,AirForce,married civilian male,995
5,O,AirForce,single withoutchildren male,425
5,O,AirForce,single withoutchildren female,300
5,O,AirForce,single withchildren male,212
5,O,AirForce,single withchildren female,94
5,O,AirForce,married jointservice male,590
5,O,AirForce,married jointservice female,321
5,O,AirForce,married civilian female,7608
5,O,AirForce,married civilian male,607
6,O,AirForce,single withoutchildren male,101
6,O,AirForce,single withoutchildren female,107
6,O,AirForce,single withchildren male,67
6,O,AirForce,single withchildren female,20
6,O,AirForce,married jointservice male,174
6,O,AirForce,married jointservice female,58
6,O,AirForce,married civilian female,3015
6,O,AirForce,married civilian male,230
7,O,AirForce,single withoutchildren male,0
7,O,AirForce,single withoutchildren female,2
7,O,AirForce,single withchildren male,1
7,O,AirForce,single withchildren female,0
7,O,AirForce,married jointservice male,5
7,O,AirForce,married jointservice female,5
7,O,AirForce,married civilian female,131
7,O,AirForce,married civilian male,5
8,O,AirForce,single withoutchildren male,1
8,O,AirForce,single withoutchildren female,3
8,O,AirForce,single withchildren male,0
8,O,AirForce,single withchildren female,0
8,O,AirForce,married jointservice male,4
8,O,AirForce,married jointservice female,1
8,O,AirForce,married civilian female,86
8,O,AirForce,married civilian male,7
9,O,AirForce,single withoutchildren male,0
9,O,AirForce,single withoutchildren female,0
9,O,AirForce,single withchildren male,0
9,O,AirForce,single withchildren female,0
9,O,AirForce,married jointservice male,1
9,O,AirForce,married jointservice female,0
9,O,AirForce,married civilian female,35
9,O,AirForce,married civilian male,1
10,O,AirForce,single withoutchildren male,0
10,O,AirForce,single withoutchildren female,0
10,O,AirForce,single withchildren male,0
10,O,AirForce,single withchildren female,0
10,O,AirForce,married jointservice male,1
10,O,AirForce,married jointservice female,0
10,O,AirForce,married civilian female,12
10,O,AirForce,married civilian male,0
1,E,MarineCorps,single withoutchildren male,6232
1,E,MarineCorps,single withoutchildren female,583
1,E,MarineCorps,single withchildren male,54
1,E,MarineCorps,single withchildren female,3
1,E,MarineCorps,married jointservice male,20
1,E,MarineCorps,married jointservice female,19
1,E,MarineCorps,married civilian female,611
1,E,MarineCorps,married civilian male,21
2,E,MarineCorps,single withoutchildren male,15916
2,E,MarineCorps,single withoutchildren female,1336
2,E,MarineCorps,single withchildren male,190
2,E,MarineCorps,single withchildren female,12
2,E,MarineCorps,married jointservice male,98
2,E,MarineCorps,married jointservice female,109
2,E,MarineCorps,married civilian female,2399
2,E,MarineCorps,married civilian male,96
3,E,MarineCorps,single withoutchildren male,34868
3,E,MarineCorps,single withoutchildren female,1864
3,E,MarineCorps,single withchildren male,574
3,E,MarineCorps,single withchildren female,167
3,E,MarineCorps,married jointservice male,780
3,E,MarineCorps,married jointservice female,928
3,E,MarineCorps,married civilian female,14643
3,E,MarineCorps,married civilian male,344
4,E,MarineCorps,single withoutchildren male,17862
4,E,MarineCorps,single withoutchildren female,1026
4,E,MarineCorps,single withchildren male,527
4,E,MarineCorps,single withchildren female,272
4,E,MarineCorps,married jointservice male,1070
4,E,MarineCorps,married jointservice female,944
4,E,MarineCorps,married civilian female,15599
4,E,MarineCorps,married civilian male,414
5,E,MarineCorps,single withoutchildren male,7490
5,E,MarineCorps,single withoutchildren female,590
5,E,MarineCorps,single withchildren male,931
5,E,MarineCorps,single withchildren female,338
5,E,MarineCorps,married jointservice male,1199
5,E,MarineCorps,married jointservice female,730
5,E,MarineCorps,married civilian female,17921
5,E,MarineCorps,married civilian male,344
6,E,MarineCorps,single withoutchildren male,2051
6,E,MarineCorps,single withoutchildren female,208
6,E,MarineCorps,single withchildren male,1060
6,E,MarineCorps,single withchildren female,226
6,E,MarineCorps,married jointservice male,568
6,E,MarineCorps,married jointservice female,341
6,E,MarineCorps,married civilian female,12005
6,E,MarineCorps,married civilian male,221
7,E,MarineCorps,single withoutchildren male,565
7,E,MarineCorps,single withoutchildren female,72
7,E,MarineCorps,single withchildren male,622
7,E,MarineCorps,single withchildren female,119
7,E,MarineCorps,married jointservice male,308
7,E,MarineCorps,married jointservice female,185
7,E,MarineCorps,married civilian female,6970
7,E,MarineCorps,married civilian male,120
8,E,MarineCorps,single withoutchildren male,148
8,E,MarineCorps,single withoutchildren female,21
8,E,MarineCorps,single withchildren male,270
8,E,MarineCorps,single withchildren female,42
8,E,MarineCorps,married jointservice male,115
8,E,MarineCorps,married jointservice female,66
8,E,MarineCorps,married civilian female,3268
8,E,MarineCorps,married civilian male,73
9,E,MarineCorps,single withoutchildren male,68
9,E,MarineCorps,single withoutchildren female,10
9,E,MarineCorps,single withchildren male,106
9,E,MarineCorps,single withchildren female,20
9,E,MarineCorps,married jointservice male,42
9,E,MarineCorps,married jointservice female,10
9,E,MarineCorps,married civilian female,1340
9,E,MarineCorps,married civilian male,21
1,O,MarineCorps,single withoutchildren male,2227
1,O,MarineCorps,single withoutchildren female,204
1,O,MarineCorps,single withchildren male,26
1,O,MarineCorps,single withchildren female,5
1,O,MarineCorps,married jointservice male,35
1,O,MarineCorps,married jointservice female,53
1,O,MarineCorps,married civilian female,1006
1,O,MarineCorps,married civilian male,23
2,O,MarineCorps,single withoutchildren male,1509
2,O,MarineCorps,single withoutchildren female,133
2,O,MarineCorps,single withchildren male,29
2,O,MarineCorps,single withchildren female,8
2,O,MarineCorps,married jointservice male,81
2,O,MarineCorps,married jointservice female,53
2,O,MarineCorps,married civilian female,1330
2,O,MarineCorps,married civilian male,20
3,O,MarineCorps,single withoutchildren male,1510
3,O,MarineCorps,single withoutchildren female,200
3,O,MarineCorps,single withchildren male,110
